id,term,category_parent,category_sub,name,professor,credit
30310,Ｓ,基礎科目,初修外国語,中国語一列①,山影 統,2.0
30311,Ｓ,基礎科目,身体運動・健康科学実習,身体運動・健康科学実習Ⅰ（ﾒﾃﾞｨｶﾙｹｱ3）,久保 啓太郎,1.0
30312,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語上級（会話）,アガエス ジュリアン,2.0
30313,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（演習）,李 洵,2.0
30314,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語初級（第三外国語）,張 銀英,2.0
30315,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,イタリア語初級（演習）,アンドレア チヴィーレ,2.0
30316,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ロシア語中級（インテンシヴ）,ゴロウィナ クセーニヤ,2.0
30317,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語中級（インテンシヴ）,ジ ミンギョン,2.0
30318,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,モンゴル語初級（第三外国語）,荒井 幸康,2.0
30320,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,古典語初級（サンスクリット語）Ⅰ,梶原 三恵子,2.0
30321,Ｓ,総合科目,Ｃ（社会・制度）,社会・制度Ⅲ(PEAK),成田 大樹,2.0
30322,Ｓ,総合科目,Ｄ（人間・環境）,スポーツ・身体運動実習(ﾒﾃﾞｨｶﾙｹｱ3),久保 啓太郎,2.0
30323,Ｓ,総合科目,Ｄ（人間・環境）,身体運動メカニクス,深代 千之,2.0
30324,Ｓ,主題科目,全学自由研究ゼミナール,全学自由研究ゼミナール(PEAK)(社会・制度Ⅲ) (Introduction to Economic Policy),成田 大樹,2.0
30330,Ｓ,総合科目,Ｃ（社会・制度）,社会・制度III(PEAK),成田 大樹,2.0
31176,Ｓ,基礎科目,初修外国語,スペイン語一列①,深澤 晴奈,2.0
31398,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,浅井 禎吾,2.0
31408,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,鈴木 建,2.0
31416,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,石野 雅也,2.0
31426,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,川合 一茂,2.0
31434,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,松田 雄二,2.0
31435,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,関野 正樹,2.0
31436,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,坂田 利弥,2.0
31437,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,古田 一雄,2.0
31489,Ｓ,基礎科目,初年次ゼミナール理科,初年次ゼミナール理科,幸福 裕,2.0
31669,Ｓ,展開科目,自然科学ゼミナール,自然科学ゼミナール（生命科学）,和田 洋一郎,2.0
31680,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,外村 大,2.0
31681,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,黛 秋津,2.0
31682,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,徳盛 誠,2.0
31683,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,岡田 晃枝,2.0
31684,Ｓ,基礎科目,初年次ゼミナール文科,初年次ゼミナール文科,源河 達史,2.0
31783,Ｓ,基礎科目,身体運動・健康科学実習,身体運動・健康科学実習Ⅱ（ﾒﾃﾞｨｶﾙｹｱ3）,久保 啓太郎,1.0
30331,Ｓ,総合科目,Ｆ（数理・情報）,図形科学Ⅰ,加藤 道夫,2.0
30332,Ｓ,総合科目,Ｆ（数理・情報）,図形科学Ｂ,加藤 道夫,2.0
30333,Ｓ,総合科目,Ｅ（物質・生命）,基礎化学,村田 滋,2.0
30334,Ｓ,総合科目,Ｂ（国際・地域）,近現代史Ⅰ,磯部 裕幸,2.0
30335,Ｓ,総合科目,Ｆ（数理・情報）,図形科学（文科生）,加藤 道夫,2.0
30336,Ｓ,基礎科目,既修外国語,日本語一列①,藤井 聖子,2.0
30337,Ｓ,展開科目,人文科学ゼミナール,人文科学ゼミナール（歴史学）,山口 輝臣,2.0
30338,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級,グレノン イザベル,2.0
30339,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級,田尻 芳樹,2.0
30340,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（演習）,ヘルマン ゴチェフスキ,2.0
30341,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（表現練習）,オプヒュルス 鹿島,2.0
30342,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（インテンシヴ）,SCHWARZ Thomas,2.0
30343,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語初級（第三外国語）,日名 淳裕,2.0
30344,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ドイツ語中級（演習）,香田 芳樹,2.0
30345,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,フランス語初級（会話）,Vallienne Corinne,2.0
